first_sentence	second_sentence	label
2.4.   The payment service provider should report only payment transactions that have been  executed, including those transactions	that  have  been  initiated  by  a  payment  initiation  service  provider.  Prevented  fraudulent  transactions  that  are  blocked  before  they  are  executed  due  to  suspicion  of  fraud  should  not  be  included.    	1
2.5.   The payment service provider should report the statistical information with a breakdown in  accordance with the	breakdowns  specified  in  Guideline  7  and  compiled  in  Annex  2.              	1
2.6.   The payment service provider should identify the applicable data breakdown(s), depending  on the payment service(s) and	payment  instrument(s)  provided,  and  submit  the  applicable  data  to  the  competent  authority.          	1
2.7.   The payment service provider should ensure that all data reported to the competent  authority can be	cross-referenced  in  accordance  with  Annex  2.        	1
2.8.   The payment service provider should allocate each transaction to only one sub-category for  each row of	each  data  breakdown.              	1
2.9.   In the case of a series of payment transactions being executed, or fraudulent payment  transactions being	executed,  the  payment  service  provider  should  consider  each  payment  transaction  or  fraudulent  payment  transaction  in  the  series  to  count  as  one.      	1
2.10. The payment service provider can report zero (‘0’) where there were no transactions or       fraudulent transactions taking place for	a  particular  indicator  in  the  reporting  period              established.  Where  the  payment  service  provider  cannot  report  data  for  a  specific              breakdown  because  that  particular  data  breakdown  is  not  applicable  to  that  PSP,  the  data              should  be  reported  as  ‘NA’.      	1
2.11. For the purpose of avoiding double-counting, the payer’s payment service provider should       submit data in its issuing (or initiating)	capacity.  As  an  exception,  data  for  card  payments              should  be  reported  both  by  the  payer’s  payment  service  provider  and  by  the  payee’s  18  FINAL  REPORT  ON  FRAUD  REPORTING  GUIDELINES  UNDER  PSD2  	1
2.12. In order to avoid double counting when calculating the total transactions and fraudulent       transactions across all payment instruments, the	payment  service  provider  that  executes              credit  transfers  initiated  by  a  payment  initiation  service  provider  should  indicate  the              breakdown  for  the  volume  and  value  of  the  total  transactions  and  fraudulent  payment              transactions  that  have  been  initiated  via  a  payment  initiation  service  provider  when              reporting  under  Data  Breakdown  A.    	1
3.1.   The payment service provider should report data every six months based on the applicable  data breakdown(s)	in  Annex  2.              	1
3.2.   The payment service provider that benefit from an exemption under Article 32 PSD2 and emoney institutions that benefit from the exemption under Article	9  Directive  2009/110/EC  on  the  taking  up,  pursuit  and  prudential  supervision  of  the  business  of  electronic  money  institutions  should  only  report  the  set  of  data  requested  under  the  applicable  form(s)  in  Annex  2  on  an  annual  basis  with  data  broken  down  in  two  periods  of  six  months.          	1
3.3.   The payment service provider should submit their data within the timelines set by the  respective competent	authorities.    	1
4.1 The payment service provider should report data for transactions that are domestic, cross     border within the European Economic Area (EEA), and	cross-border  outside  the  EEA.            	1
4.2 For non-card based payment transactions, and remote card based payment transactions,     ‘domestic payment transactions’ refer to payment transactions initiated by a	payer,  or  by  or          through  a  payee,  where  the  payer’s  payment  service  provider  and  the  payee’s  payment  service          provider  are  located  in  the  same  Member  State.        	1
4.3 For non-remote card-based payment transactions, ‘domestic payment transactions’ refer to     payment transactions where the payer’s payment service provider (issuer), the payee’s	        payment  service  provider  (acquirer)  and  the  point  of  sale  (POS)  or  automated  teller  machine          (ATM)  used  are  located  in  the  same  Member  State.              	1
4.4 For EEA branches, domestic payment transactions refer to the payment transactions where     both the payer’s and the payee’s payment service providers	are  in  the  host  Member  State          where  the  branch  is  established.            19  FINAL  REPORT  ON  FRAUD  REPORTING  GUIDELINES  UNDER  PSD2    	1
4.5 For non-card based payment transactions and remote card based payment transactions, ‘crossborder payment transaction within the EEA’ refers to a payment transaction initiated by a	        payer,  or  by  or  through  a  payee,  where  the  payer’s  payment  service  provider  and  the  payee’s          payment  service  provider  are  located  in  different  Member  States.          	1
4.6 For non-remote card-based payment transactions, ‘cross-border payment transactions within     the EEA’ refer to payment transactions where the payer’s payment service provider	(issuer)  and          the  payee’s  payment  service  provider  (acquirer)  are  in  different  member  states  or  the  payer’s          payment  service  provider  (issuer)  is  located  in  a  Member  State  different  from  that  of  the  POS          or  ATM.            	1
4.7 ‘Cross-border payment transactions outside the EEA’ refer to payment transactions initiated by     a payer, or by or through a payee, where	either  the  payer’s  or  the  payee’s  payment  service          provider  is  located  outside  the  EEA  while  the  other  is  located  within  the  EEA.          	1
4.8 A payment service provider offering payment initiation services should report the executed     payment transactions it initiated and the executed fraudulent transactions	it  initiated  in          accordance  with  the  following:            	1
5.1.   The payment service provider shall report to the competent authority of the home Member  State. 	should include  e-money payment transactions	1
5.2.   The payment service provider should record data from all its agents, providing payment  services in the	EEA  and  aggregate  these  data  with  the  rest  of  the  data  before  reporting  to  the  home  competent  authority.  When  doing  so,  the  location  of  the  agent  is  irrelevant  for  determining  the  geographical  perspective.          	1
5.3.   Within the framework of the monitoring and reporting set out in Article 29(2) PSD2 and in       	Article  40  of  Directive  2013/36/EU  of  the  European  Parliament  and  of  the  Council  on  access  to  the  activity  of  credit  institutions  and  the  prudential  supervision  of  credit  institutions  and  investment  firms,  an  established  branch  of  an  EEA’s  payment  service  provider  should  report  to  the  competent  authority  of  the  host  Member  State  where  it  is  established,  separately  from  the  reporting  data  of  the  payment  service  provider  in  the  home  Member  State.      	1
5.4.   When reporting data to the corresponding competent authority, a payment service provider  should mention the identification	details  mentioned  in  Annex  1.          	1
6.1    The date to be considered by payment service providers for recording payment transactions  and fraudulent	payment  transactions  for  the  purpose  of  this  statistical  reporting  is  the  day  the  transaction  has  been  executed  in  accordance  with  PSD2.  In  the  case  of  a  series  of  transactions,  the  date  recorded  should  be  the  date  when  each  individual  payment  transaction  was  executed.    	1
6.2    The payment service provider should report all fraudulent payment transactions from the  time fraud has	been  detected,  such  as  through  a  customer  complaint  or  other  means,  regardless  of  whether  or  not  the  case  related  to  the  fraudulent  payment  transaction  has  been  closed  by  the  time  the  data  are  reported.        	1
6.3    The payment service provider should report all adjustments to the data referring to any past       	reporting  period  at  least  up  to  one  year  old  during  the  next  reporting  window  after  the  information  necessitating  the  adjustments  is  discovered.  It  should  indicate  that  the  data  reported  are  revised  figures  applicable  to  the  past  period  and  should  report  this  revision  according  to  the  methodology  established  by  the  relevant  competent  authority.              	1
7.1    For e-money payment transactions as defined in Directive 2009/110/EC, the payment service  provider should provide	data  in  accordance  with  Data  Breakdown  F  in  Annex  2.              	1
7.2    When providing data 	on e-money transactions,	1
7.3    The payment service provider for the purpose of e-money payment transactions should  report data on	volumes  and  values  of  all  payment  transactions,  as  well  as  volumes  and  values  of  fraudulent  payment  transactions,  with  the  following  breakdowns:      	1
7.4   For money remittance services, the payment service provider should provide data in       accordance with Data Breakdown G	in  Annex  2  and  as  specified  in  Guideline  1.3.  The  payment              service  provider  offering  these  services  should  report  data  on  volumes  and  values  of  all              payment  transactions  and  fraudulent  payment  transactions  in  Guideline  2.1  with  the              geographical  perspective.      	1
7.5   When providing provides payment initiation services, the payment service provider should       provide data in accordance with Data	Breakdown  H  in  Annex  2.  The  payment  service  provider              should  report  the  executed  payment  transactions  it  initiated  and  the  executed  fraudulent              transactions  it  initiated,  both  by  volume  and  value.        	1
7.6   For those payment transactions that qualify for Data Breakdown H in Annex 2 the payment       service provider	offering  payment  initiation  services  should  record  and  report  data  on              volumes  and  values  with  the  following  breakdowns:  	1
7.7   A payment service provider that does not manage the account of the payment service user       but issues	and  executes  card-based  payments  (a  card-based  payment  instrument  issuer)              should  provide  data  on  volumes  and  values,  in  accordance  with  Data  Breakdown  C  and/or  E              in  Annex  2.  When  such  data  are  provided,  the  account  service  payment  service  provider              should  ensure  that  no  double-reporting  of  such  transactions  occur.  	1
7.8   The payment service provider offering credit transfer and card based payment services       should provide data in accordance	with  Data  Breakdowns  A,  C  and/or  D  in  Annex  2              depending  on  the  payment  instrument  used  for  a  given  payment  transaction  and  on  the  role              of  the  payment  service  provider.  The  data  include:              	1
7.9   The payment service provider should provide data in accordance with Data Breakdown A in       Annex 2 for	all  payment  transactions  and  fraudulent  payment  transactions  executed  using              credit  transfers.              	1
7.10 The payment service provider should provide data in accordance with Data Breakdown B in      Annex 2 for all payment transactions	and  fraudulent  payment  transactions  executed  using            direct  debits.  The  data  include:  	1
7.11 The payment service provider should provide data in accordance with Data Breakdown C in      Annex 2 for all payment transactions	and  fraudulent  payment  transactions  on  the  issuer  side            where  a  payment  card  was  used  and  the  payment  service  provider  was  the  payer’s  payment            service  provider.      	1
7.12 The payment service provider should provide data in accordance with Data Breakdown D in      Annex 2 for all payment transactions	and  fraudulent  payment  transactions  on  the  acquiring            side  where  a  payment  card  was  used  and  the  payment  service  provider  is  the  payee’s            payment  service  provider.      	1
7.13 The payment service provider providing data in accordance with Data Breakdowns A to F in      Annex 2 should report all	losses  due  to  fraud  per  liability  bearer  during  the  reporting  period.            	1
7.14 The payment service provider reporting card payment transactions in accordance with Data      Breakdowns C and D in Annex 2 should	exclude  cash  withdrawals  and  cash  deposits.        	1
7.15 The payment service provider (issuer) should provide data in accordance with Data      Breakdown E in Annex 2 for all cash	withdrawals  and  fraudulent  cash  withdrawals  through            apps,  at  ATMs,  at  bank  counters  and  through  retailers  (‘cash  back’)  using  a  card.            	1
1.1.   For the purposes of reporting statistical data on fraud to the EBA and the ECB in accordance      	  with  these  Guidelines  and  with  Article  96(6)  PSD2,  the  competent  authority  should  report  for  each  reporting  period:            	1
1.2.   For the purposes of Guideline 1.1, the competent authority should report only payment  transactions that have	been  initiated  and  executed  (including  acquired  where  applicable)  by  payment  service  providers  (including  card  based  payment  instrument  issuers  where  applicable).  The  competent  authority  should  not  report  data  on  payment  transactions  that,  however  linked  to  any  of  the  circumstances  referred  to  in  Guideline  1.1,  have  not  been  executed  and  have  not  resulted  in  a  transfer  of  funds  in  accordance  with  PSD2  provisions.          	1
1.3.   The competent authority should report all payment transactions and fraudulent payment  transactions in accordance with the	following:    	1
1.4.   Competent authorities should report data from payment service providers offering payment  initiation services in accordance with	the  following:  	1
2.1.   The competent authority should report 	statistical information on:         	1
2.2.   The competent authority should report the statistical information in Guideline 2.1 both in  volume (i.e. number	of  transactions  or  fraudulent  transactions)  and  value  (i.e.  amount  of  transactions  or  fraudulent  transactions).  It  should  report  volumes  and  values  in  actual  units,  with  two  decimals  for  values.      	1
2.3.   The competent authority should report the values in euro currency. It should convert data  for values	of  transactions  or  fraudulent  transactions  denominated  in  a  currency  other  than  the  euro,  using  the  relevant  exchange  rates  applied  to  these  transactions  or  the  average  ECB  reference  exchange  rate  for  the  applicable  reporting  period.        	1
2.4.   The competent authority can report zero (‘0’) where there were no transactions or  fraudulent transactions taking	place  for  a  particular  indicator  in  the  reporting  period  established.              	1
2.5.   The competent authority should aggregate the data collected within its Member State from  the addressees of	this  Guidelines  by  summing  the  figures  reported  for  each  individual  payment  service  provider  in  line  with  the  data  breakdowns  in  Annex  2.    	1
2.6.   The competent authority should define the secure communication procedures and the  format for the reporting of	the  data  by  payment  service  providers.  The  competent  authority  should  also  ensure  that  an  appropriate  deadline  is  given  to  payment  service  providers  to  ensure  the  quality  of  the  data  and  to  account  for  the  potential  delay  in  reporting  fraudulent  payment  transactions.        	1
2.7.   The competent authority should ensure that the data reported under these Guidelines can  be cross-referenced and	used  by  the  EBA  and  the  ECB  in  accordance  with  the  data  breakdowns  in  Annex  2.  	1
3.1.   The competent authority should report the volumes and values of payment transactions and  fraudulent payment transactions	in  line  with  Guidelines  2.1  and  2.2.  To  avoid  double  counting,  data  should  not  be  aggregated  across  the  different  data  breakdowns  in  Annex  2.              	1
3.2.   The competent authority should report adjustments to data on any payment transaction and  fraudulent payment transaction	reported  in  any  past  reporting  period  during  the  next  reporting  window  after  the  information  necessitating  the  adjustments  is  obtained  from  given  payment  service  provider(s)  and  up  to  13  months  after  the  transaction  was  executed  (and/or  acquired)  to  enable  the  payment  service  user  to  exercise  its  right  to  notify  the  payment  service  provider  no  later  than  13  months  after  the  transaction  was  executed  in  accordance  with  Article  71  PSD2.          	1
3.3.   The competent authority should at all times ensure the confidentiality and integrity of the  information stored	and  exchanged  and  the  proper  identification  when  submitting  data  to  the  ECB  and  the  EBA.    	1
3.4.   The competent authority should send the aggregated data to the ECB and the EBA within six       	months  from  the  day  after  the  end  of  the  reporting  period.            	1
3.5.   The competent authority should agree with the ECB and the EBA the secure communication  procedures and	the  specific  format  in  which  the  competent  authority  should  report  the  data.          	1
4.1.   Where there is more than one competent authority in a Member State under PSD2, the  competent	authorities  should  co-ordinate  the  data  collection  to  ensure  that  only  one  set  of  data  is  reported  for  that  Member  State  to  the  ECB  and  the  EBA.          	1
4.2.   Upon request by the competent authority in a home Member State, the competent authority  in a	host  Member  State  should  make  available  information  and  data  that  established  branches  have  reported  to  them.  	1
22.This section sets out the key elements for developing and implementing an NPE strategy.    Credit institutions should	have  in  place  an  adequate  framework  to  identify,  measure,      manage,  monitor  and  mitigate  NPEs,  including  through  workout  activities.        	1
      23.In the development and implementation of their NPE strategies, credit institutions should  	  take  into  account  relevant  consumer  protection  considerations  and  requirements,  and      ensure  fair  treatment  of  consumers.            	1
24.Credit institutions should establish an NPE strategy to target a time-bound reduction of NPEs    over a realistic	but  sufficiently  ambitious  time  horizon  (NPE  reduction  targets).  The  NPE      strategy  should  lay  out  the  credit  institution’s  approach  and  objectives  regarding  effective      management  to  maximise  recoveries  and  ultimately  a  reduction  in  NPE  stocks  in  a  clear,      credible  and  feasible  manner  for  each  relevant  portfolio.  When  developing  and      implementing  the  NPE  strategy  for  retail  portfolios,  credit  institutions  should  consider      provisions  aimed  at  protecting  consumers,  including  Directive  2014/17/EU,  13      Directive  2008/48/EC14  and  the  EBA  Guidelines  on  arrears  and  foreclosure.15          	1
13Directive 2014/17/EU of the European Parliament and of the Council of 4 February 2014 on credit agreements for consumers relating to residential immovable property and amending	Directives  2008/48/EC  and  2013/36/EU  and  Regulation  (EU)  No  1093/2010  (OJ  L  60  28.2.2014,  p.  34).  14Directive  2008/48/EC  of  the  European  Parliament  and  of  the  Council  of  23  April  2008  on  credit  agreements  for  consumers  and  repealing  Council  Directive  87/102/EEC  (OJ  L  133  22.5.2008,  p.  66).              	1
   25.The following steps should form the core building blocks of the development and       implementation of the NPE	strategy:    	1
   26.When credit institutions develop their NPE strategy, they should also consider policies that       aim to ensure the	fair  treatment  of  borrowers.            	1
27.As a first phase in the formulation and execution of an appropriate NPE strategy, credit       institutions should complete an assessment	of  the  following  elements:            	1
   28.Credit institutions should perform a comprehensive self-assessment to evaluate the actual       situation and the steps to be	taken  internally  to  address  any  gaps  in  the  internal  capabilities              to  manage  NPEs.          	1
   29.Institutions should fully     	understand and assess: 	1
    c) Their operational capacities (processes, tools, data quality, IT/automation, staff/expertise,  decision-making, internal policies and any	other  relevant  area  for  the  implementation  of  the  strategy)  in  relation  to  the  various  steps  involved  in  the  process,  including  but  not  limited  to:              	1
   30.Credit institutions should perform a comprehensive self-assessment covering at least the       items listed in paragraph 29 on	an  annual  basis  to  determine  strengths,  significant  gaps  and              areas  of  improvement  required  to  reach  NPE  reduction  targets.              	1
   31.Credit institutions should report the outcome of the comprehensive self-assessment to the       institution’s management body and the	competent  authority.  	1
   32.Credit institutions should consider seeking expert views on their operational capabilities to       manage NPEs from the institution’s	risk  management  and  control  functions  or  from  external              sources  on  a  periodic  basis.          	1
   33.Credit institutions should assess and consider the current and likely future external operating       conditions and environment when	establishing  the  NPE  strategy  and  associated  NPE              reduction  targets.  The  following  list  of  external  factors,  where  appropriate,  should  be  taken              into  account  by  credit  institutions  when  setting  the  NPE  strategy:      	1
      34.Credit institutions should be able to calculate a detailed assessment of the impact of the     	        planned  strategy  from  capital,  risk  exposure  amount,  profit  or  loss,  and  impairment      perspectives  for  each  of  the  reduction  drivers,  and  they  should  assess  whether  the  bank  has      identified  a  strategic  process  to  resolve  any  shortfalls  under  different  economic  scenarios.      The  assessment  criteria,  underlying  assumptions  and  implications  should  be  aligned  with  the      RAF  as  well  as  with  the  internal  capital  adequacy  assessment  process  (ICAAP).16          	1
      35.Credit institutions should include suitable actions in their capital planning to ensure that the      	      level  of  available  capital  will  enable  a  sustainable  reduction  of  NPEs  on  the  balance  sheet.            	1
36.The NPE strategy should encompass, at a minimum, time-bound quantitative NPE targets and    foreclosed assets targets, supported,	where  appropriate,  by  a  corresponding  comprehensive      operational  plan.  The  development  of  the  NPE  strategy  should  be  informed  by  a  selfassessment  process  and  an  analysis  of  the  strategic  options  for  the  implementation  of  the      NPE  strategy.  The  NPE  strategy  and  operational  plan  should  be  defined  and  approved  by  the      management  body  and  reviewed  at  least  annually.          	1
      37.Credit institutions should consider including a combination of strategies and options in the       	    NPE  strategy  to  achieve  their  objectives  over  the  short,  medium  and  long  term.  In  order  to            	1
      38.Credit institutions should identify medium- and long-term strategy options for NPE   	reductions  that  may  not  be  achievable  immediately,  for  example  due  to  a  lack  of  immediate      NPE  investor  demand,  which  might  change  in  the  medium  to  long  term.  The  operational  plan      may  therefore  need  to  allow  for  such  changes  and  require  preparations  for  them,  for      example  by  enhancing  the  quality  of  NPE  data  in  order  to  be  ready  for  future  investor      transactions.        	1
      39.When a credit institution concludes that none of the above options will lead to a sufficient    	          NPE  reduction  in  the  medium  to  long  term  for  certain  portfolios  or  individual  exposures,  this      should  be  clearly  reflected  in  a  timely  impairment  and  write-off  approach.          	1
      40.Credit institutions aiming to engage in complex processes, such as NPE risk transfer and      	      securitisation  transactions,  should  conduct  robust  risk  analysis  and  have  adequate  risk      control  processes  in  place.17        	1
      41.Before commencing the short- to medium-term target-setting process, credit institutions    should	establish  a  view  of  reasonable  long-term  NPE  levels,  both  at  portfolio  level  and  at      aggregate  level.  Credit  institutions  should  take  into  account  historic  or  international      benchmarks  in  order  to  define  reasonable  long-term  NPE  levels.              	1
      42.Credit institutions should include, at a minimum, clearly defined realistic yet ambitious  	  quantitative  targets  in  their  NPE  strategy,  including  for  foreclosed  assets,  where  relevant.      These  targets  should  lead  to  a  concrete  reduction,  gross  and  net  of  impairments,  in  NPEs,  at              	1
   43.Credit institutions should  	establish targets as followings:   	1
   44.The NPE targets for credit institutions should at a minimum include a projected absolute or       relative NPE	reduction,  both  gross  and  net  of  impairments,  not  only  on  an  overall  basis  but              also  for  the  main  NPE  portfolios.  Where  foreclosed  assets  are  material,  a  foreclosed  assets              strategy  should  be  defined  or,  at  least,  foreclosed  assets  reduction  targets  should  be  included              in  the  NPE  strategy.    	1
   45.The NPE targets should be aligned with the more granular operational targets. Further       monitoring indicators can be	implemented  as  additional  targets,  if  deemed  appropriate.      	1
   46.The NPE strategy of the credit institution should be supported by an operational plan, which       should be	defined,  approved  and  reviewed  by  the  management  body.  The  operational  plan              should  clearly  define  how  the  credit  institution  will  operationally  implement  its  NPE  strategy              over  a  time  horizon  of  at  least  one  to  three  years  (depending  on  the  type  of  operational              measures  required).          	1
   48.The operational plan should have a specific focus on internal factors that could present       impediments to the	successful  delivery  of  the  NPE  strategy.        	1
49.The implementation of the NPE strategy operational plan should rely on suitable policies and       procedures, clear ownership and appropriate governance	structures,  including  escalation              procedures,  and  the  operational  plan  should  incorporate  wide-ranging  change  management              measures  in  order  to  embed  the  NPE  workout  framework  as  a  key  element  in  the  corporate              culture.        	1
   50.Credit institutions should report material deviations from the plan to the management body       and to the competent	authority  in  a  timely  manner,  with  appropriate  remediation  actions  to              be  put  in  place.        	1
51.As the execution and delivery of the NPE strategy will involve and depend on many different       areas within the credit	institution,  it  should  be  embedded  in  processes  at  all  levels  of  the              organisation,  including  strategic  and  operational,  including  the  risk  committee  as  defined  in              Article  76(3)  of  Directive  2013/36/EU.        	1
   52.Credit institutions should emphasise to all relevant staff the key components of the NPE       strategy in line	with  the  approach  taken  to  the  institution’s  overall  strategy  and  in  particular              the  risk  strategy  as  defined  in  Article  76  of  Directive  2013/36/EU.  This  is  especially  important              if  the  implementation  of  the  NPE  strategy  will  involve  wide-ranging  changes  to  business              procedures.              	1
   53.Credit institutions should clearly define and document the roles, responsibilities and formal       reporting lines for the implementation	of  the  NPE  strategy  and  operational  plan.      	1
   54.Staff and management involved in NPE workout activities should be provided with clear       individual (or team) goals	and  incentives  geared  towards  reaching  the  targets  agreed  in  the              NPE  strategy  and  operational  plan.  Related  remuneration  policies,  career  development              objectives  and  performance  monitoring  frameworks  should  take  the  NPE  targets  into              account  in  order  to  ensure  the  full  engagement  of  staff  and  management  with  NPE  reduction              and  should  also  have  regard  to  the  fair  treatment  of  consumers.  The  incentive  scheme  for              staff  and  managers  in  the  loan  origination/business  units  should  also  take  into  account  the              feedback  from  the  workout  activities  and  the  quality  of  the  credit  institution’s  exposures  in        	1
      55.All relevant components of the NPE strategy should be fully aligned with and integrated into     	        the  business  plan  and  budget,  including  all  the  relevant  costs  associated  with  the      implementation  of  the  operational  plan,  and  also  potential  losses  stemming  from  NPE      workout  activities.      	1
      56.The NPE strategy should be fully embedded in the risk management framework. In that      	      context,  special  attention  should  be  paid  to:              	1
      57.Credit institutions should ensure a high level of monitoring and oversight by the risk      	      management  functions  in  respect  of  the  formulation  and  implementation  of  the  NPE  strategy      and  operational  plan.      	1
58.In order for credit institutions to be able to address their NPE issues in an efficient and       sustainable manner, an	appropriate  governance  structure  and  operational  set-up  should  be              in  place.  	1
   59.This section sets out the key elements of governance and operations in relation to an NPE       workout	framework,  covering  aspects  related  to  steering  and  decision-making,  the  NPE              operating  model,  the  internal  control  framework  and  NPE  monitoring  processes.          	1
   60.In the implementation of their NPE governance and operations, credit institutions should       take into account relevant consumer	protection  considerations  and  requirements,  and              ensure  fair  treatment  of  consumers.  	1
61.The overarching strategy of a credit institution and its implementation should cover the NPE       strategy and operational plan, which should	therefore  be  set,  approved  and  reviewed  by  the              management  body.  In  particular,  the  management  body  should:    	1
   62.The management body and senior management should dedicate an amount of their capacity       and devote sufficient time	to  NPE  workout-related  matters  in  line  with  Article  76  of              Directive  2013/36/EU,  in  proportion  to  the  risks  connected  to  NPEs  within  the  credit              institution.  Credit  institutions  should  establish  and  document  clearly  defined,  efficient  and              consistent  decision-making  procedures,  with  adequate  second  line  of  defence  involvement              at  all  times.    	1
   63.In order to mitigate sufficiently any conflict of interest in managing NPEs, as well as to make      	good  use  of  dedicated  NPE  expertise  across  the  organisation,  credit  institutions  should              establish  dedicated  NPE  workout  units  (NPE  WUs)  that  are  independent  from  loan  origination              activities.  This  separation  of  duties  approach  should  encompass  not  only  client  relationship              activities  (e.g.  negotiation  of  forbearance  solutions  with  clients)  but  also  the  decision-making              process.  In  this  context,  credit  institutions  should  consider  implementing  dedicated  decisionmaking  bodies  related  to  NPE  workout  (e.g.  an  NPE  committee).  	1
   64.Where overlaps with the decision-making bodies, managers or experts involved in the loan       origination process are unavoidable,	the  institutional  framework  and  internal  controls  should              ensure  that  any  potential  conflicts  of  interest  are  sufficiently  mitigated.  	1
   65.Credit institutions should have arrangements in place to ensure that regular feedback       between loan origination units and	NPE  WUs  is  established.            	1
   66.When designing an appropriate NPE WU structure, credit institutions should take into       account the specificities of their	main  NPE  portfolios,  including  the  type  of  exposure  (retail,              SME,  corporate)  and  the  type  of  collateral.    	1
   67.Credit institutions should consider designing automated processes for NPE WUs for       homogeneous retail NPE portfolios. For corporate	NPE  portfolios,  where  relevant,  and              depending  on  the  sectoral  concentration  of  the  NPEs,  credit  institutions  should  consider  a              relationship  management  approach  with  sectoral  specialisation  of  NPE  WU  staff.  For  sole              traders  and  micro-enterprises,  a  combination  of  automated  elements  and  a  relationship              management  approach  should  be  considered.      	1
   68.Smaller and less complex credit institutions (e.g. those that are classified in SREP Category 3       or 4)	may  have  in  place  dedicated  workout  functions  proportionate  to  their  size,  nature,              complexity  and  risk  profile.  Credit  institutions  should  ensure  that  the  design  of  such  functions              prevents  and  eliminates  conflict  of  interest  in  the  management  of  NPEs.      	1
   69.For proportionality purposes, smaller and less complex credit institutions (e.g. those that are       classified in SREP Category	3  or  4),  as  an  alternative  to  establishing  dedicated  decision-              	1
      70.NPE WUs should be set up to ensure that NPE workout activities and borrower engagements     	        are  tailored  to  the  phases  of  the  NPE  life  cycle.22  Credit  institutions  should  set  up  different      NPE  WUs  for  the  different  phases  of  the  NPE  life  cycle  and  also  for  different  portfolios,  if      appropriate.  All  applicable  workout  stages  should  receive  adequate  focus  and  should  be      equipped  with  sufficiently  specialised  staff.            	1
      71.Credit institutions should consider the following phases in the NPE life cycle, taking into      	      account  also  the  specificities  of  the  products  and  the  nature  of  the  arrears:  	1
     72.Managing foreclosed assets (or other assets stemming from NPEs): collateral repossession   generally commences	after  other  attempts  by  the  credit  institution  to  collect  the  outstanding    amounts  have  failed.  The  credit  institution  should  have  a  policy  in  place  that  describes  the    recovery  process  for  foreclosed  assets,  covering  in  particular  the  steps  of  repossession,    valuation  of  the  collateral  and  realisation  of  various  types  of  collateral  through  appropriate    means.      	1
     73.The EBA Guidelines on credit risk management practices and accounting for expected credit  	losses25  describe  the  policies  for  credit  institutions  of  grouping  exposures  with  shared  credit    risk  characteristics.  Homogeneous  portfolios  should  be  built  up  in  order  to  tailor  treatments    specifically  to  NPEs.  Credit  institutions  should  consider  designing  customised  processes  for    each  portfolio,  with  a  dedicated  expert  team  taking  ownership  of  each.  NPE  portfolios  should    be  analysed  with  a  high  degree  of  granularity,  resulting  in  clearly  defined  borrower    subportfolios.  For  these  analyses,  credit  institutions  should  develop  appropriate    management  information  systems  and  sufficiently  high  data  quality.              	1
